candidate1,candidate2,date,channel,url
AD,CDU,2025-04-07,TVI,https://cnnportugal.iol.pt/videos/decisao-25-o-debate-entre-luis-montenegro-e-paulo-raimundo-na-integra/67f43b470cf2ba9f720ebdb8
CH,PAN,2025-04-07,RTP 3,https://cnnportugal.iol.pt/videos/decisao-25-o-debate-entre-ines-de-sousa-real-e-andre-ventura-na-integra/67f452c80cf28cf88767e2e3
PS,BE,2025-04-08,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-pedro-nuno-santos-e-mariana-mortagua-na-integra/67f594a30cf216cd3ad348ed
CH,LIVRE,2025-04-08,RTP 3,https://cnnportugal.iol.pt/videos/o-debate-entre-rui-tavares-e-andre-ventura-na-integra/67f59ce90cf28cf88767e5bf
CDU,LIVRE,2025-04-09,SIC Notícias,https://cnnportugal.iol.pt/videos/o-debate-entre-paulo-raimundo-e-rui-tavares-na-integra/67f6bc250cf2ba9f720ec23a
PS,IL,2025-04-10,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-pedro-nuno-santos-e-rui-rocha-na-integra/67f831320cf2ba9f720ec334
BE,PAN,2025-04-10,CNN Portugal,https://cnnportugal.iol.pt/videos/o-debate-entre-mariana-mortagua-e-ines-de-sousa-real-na-integra/67f8405d0cf20ac1d5f303d6
AD,LIVRE,2025-04-11,TVI,https://cnnportugal.iol.pt/videos/o-debate-entre-nuno-melo-e-isabel-mendes-lopes-na-integra/67f981fa0cf20ac1d5f30490
IL,CDU,2025-04-11,SIC Notícias,https://cnnportugal.iol.pt/videos/o-debate-entre-rui-rocha-e-paulo-raimundo-na-integra/67f990bd0cf2ba9f720ec3d8
PS,PAN,2025-04-12,TVI,https://cnnportugal.iol.pt/videos/o-debate-entre-pedro-nuno-santos-e-ines-de-sousa-real-na-integra/67fad2830cf216cd3ad34c60
BE,CDU,2025-04-12,RTP 3,https://cnnportugal.iol.pt/videos/o-debate-entre-paulo-raimundo-e-mariana-mortagua-na-integra/67fae2ca0cf28cf88767e94c
AD,PAN,2025-04-13,SIC,https://cnnportugal.iol.pt/videos/ines-sousa-real-contra-nuno-melo-veja-o-debate-na-integra/67fc268a0cf2ba9f720ec4a4
IL,LIVRE,2025-04-13,CNN Portugal,https://cnnportugal.iol.pt/videos/o-debate-entre-rui-rocha-e-rui-tavares-na-integra/67fc358f0cf2ba9f720ec4ae
AD,IL,2025-04-14,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-rui-rocha-e-luis-montenegro-na-integra/67fd78a50cf28cf88767eabc
BE,LIVRE,2025-04-14,SIC Notícias,https://cnnportugal.iol.pt/videos/o-debate-entre-mariana-mortagua-e-rui-tavares-na-integra/67fd85ef0cf20ac1d5f3068a
PS,CH,2025-04-15,TVI,https://cnnportugal.iol.pt/videos/pedro-nuno-santos-contra-andre-ventura-veja-o-debate-na-integra/67feca6c0cf20ac1d5f30729
IL,PAN,2025-04-15,SIC Notícias,https://cnnportugal.iol.pt/videos/o-debate-entre-rui-rocha-e-ines-sousa-real-na-integra/67fedac80cf28cf88767eb50
AD,BE,2025-04-16,RTP,http://O debate entre Joana Mortágua e Nuno Melo na íntegra
CH,CDU,2025-04-16,CNN Portugal,https://cnnportugal.iol.pt/videos/o-debate-entre-paulo-raimundo-e-andre-ventura-na-integra/680028070cf28cf88767ebd4
PS,LIVRE,2025-04-17,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-pedro-nuno-santos-e-rui-tavares-na-integra/68016d380cf28cf88767ed0a
CH,IL,2025-04-17,RTP 3,https://cnnportugal.iol.pt/videos/o-debate-entre-rui-rocha-e-andre-ventura-na-integra/68017b140cf20ac1d5f30921
PS,CDU,2025-04-21,RTP,https://cnnportugal.iol.pt/videos/o-debate-entre-paulo-raimundo-e-pedro-nuno-santos-na-integra/6806b7930cf2ba9f720eca4f
CH,BE,2025-04-21,SIC Notícias,https://cnnportugal.iol.pt/videos/o-debate-entre-andre-ventura-e-mariana-mortagua/6806bfd80cf20ac1d5f30b15
LIVRE,PAN,2025-04-22,RTP 3,https://cnnportugal.iol.pt/videos/o-debate-entre-rui-tavares-e-ines-sousa-real-na-integra/6807e0630cf216cd3ad35274
CDU,PAN,2025-04-23,CNN Portugal,https://cnnportugal.iol.pt/videos/o-debate-entre-paulo-raimundo-e-ines-de-sousa-real-na-integra/680935090cf216cd3ad3531e
AD,CH,2025-04-24,SIC,https://cnnportugal.iol.pt/videos/o-debate-entre-luis-montenegro-e-andre-ventura-na-integra/680aa8580cf2ba9f720ecc2c
IL,BE,2025-04-24,CNN Portugal,http://https://cnnportugal.iol.pt/videos/o-debate-entre-rui-rocha-e-mariana-mortagua-na-integra/680ab5ff0cf28cf88767f0cd
AD,PS,2025-04-30,"simultâneo TVI, CNN Portugal, RTP, SIC",https://cnnportugal.iol.pt/videos/o-debate-entre-luis-montenegro-e-pedro-nuno-santos-na-integra/68129cd60cf28cf88767f45e
